time_s	ecg_mV
0.0	1.112505302674494
0.004	1.0443517014547914
0.008	0.8696698462051126
0.012	0.6270343566703939
0.016	0.36063810499230775
0.02	0.11500479460687352
0.024	-0.08472141157630941
0.028	-0.226400217296697
0.032	-0.30660263359142204
0.036	-0.3306111029475468
0.04	-0.31199090035746263
0.044	-0.2665669881936311
0.048	-0.2105835671473763
0.052	-0.15655920214220864
0.056	-0.11229589635467496
0.06	-0.08087909121435793
0.064	-0.06067766640387723
0.068	-0.04716385226128256
0.072	-0.03801933871041663
0.076	-0.031296493705975315
0.08	-0.025465378354570023
0.084	-0.019420568663182203
0.088	-0.012481155539162792
0.092	-0.004390744790232659
0.096	0.004683574402633117
0.1	0.014656311253006538
0.104	0.025755491669410213
0.108	0.03804557059503183
0.112	0.05156470195720125
0.116	0.06632473866738908
0.12	0.08231123262120787
0.124	0.09948343469841159
0.128	0.11777429476289547
0.132	0.13709046166269645
0.136	0.1573122832299929
0.14	0.1783276149517845
0.144	0.2000443188998633
0.148	0.2221515071833251
0.152	0.24432799396514293
0.156	0.26626371057583387
0.16	0.28765970551346154
0.164	0.30822814444363444
0.168	0.32769231019950695
0.172	0.345786602781779
0.176	0.36225653935869573
0.18	0.37685875426604853
0.184	0.38936099900717325
0.188	0.3995421422529526
0.192	0.4071921698418134
0.196	0.4121121847797289
0.2	0.41402563902476563
0.204	0.41263521796550695
0.208	0.40816111968989854
0.212	0.4008583356558427
0.216	0.3909798197047025
0.22	0.37877648806130204
0.224	0.36449721933392665
0.228	0.3483888545143229
0.232	0.3306961969776988
0.236	0.3116620124827232
0.24	0.2915270291715264
0.244	0.27052993756969945
0.248	0.24890739058629519
0.252	0.22689400351382716
0.256	0.20472235402827055
0.26	0.18262298218906114
0.264	0.16082439043909658
0.268	0.1395530436047352
0.272	0.11903336889579674
0.276	0.09948775590556186
0.28	0.08113655661077307
0.284	0.06419738733329888
0.288	0.048747953461096616
0.292	0.03470912336548243
0.296	0.02202113103271669
